nazwa,szerokosc,dlugosc,wojewodztwo
Aleksandrów Kujawski,52.8749,18.6946,kujawsko-pomorskie
Aleksandrów Łódzki,51.8203,19.3050,łódzkie
Alwernia,50.0686,19.5420,małopolskie
Andrychów,49.8529,19.3413,małopolskie
Annopol,50.8854,21.8570,lubelskie
Augustów,53.8400,22.9983,podlaskie
Babimost,52.1648,15.8304,lubuskie
Baborów,50.1566,17.9858,opolskie
Baranów Sandomierski,50.4983,21.5422,podkarpackie
Barcin,52.8574,17.9419,kujawsko-pomorskie
Barczewo,53.8283,20.6903,warmińsko-mazurskie
Bardo,50.5063,16.7404,dolnośląskie
Barlinek,52.9973,15.2195,zachodniopomorskie
Bartoszyce,54.2510,20.8095,warmińsko-mazurskie
Barwice,53.7448,16.3552,zachodniopomorskie
Bełchatów,51.3625,19.3651,łódzkie
Bełżyce,51.1750,22.2818,lubelskie
Będzin,50.3243,19.1358,śląskie
Biała,50.3854,17.6598,opolskie
Biała Piska,53.6108,22.0619,warmińsko-mazurskie
Biała Podlaska,52.0339,23.1231,lubelskie
Biała Rawska,51.8083,20.4742,łódzkie
Białobrzegi,51.6483,20.9497,mazowieckie
Białogard,54.0083,15.9858,zachodniopomorskie
Biały Bór,53.8962,16.8355,zachodniopomorskie
Białystok,53.1325,23.1631,podlaskie
Biecz,49.7310,21.2538,małopolskie
Bielawa,50.6845,16.6118,dolnośląskie
Bielsk Podlaski,52.7711,23.1903,podlaskie
Bielsko-Biała,49.8219,19.0444,śląskie
Bieruń,50.0917,19.0911,śląskie
Bierutów,51.1253,17.5441,dolnośląskie
Bieżuń,52.9596,19.8885,mazowieckie
Biłgoraj,50.5383,22.7204,lubelskie
Biskupiec,53.8644,20.9553,warmińsko-mazurskie
Bisztynek,54.0860,20.9014,warmińsko-mazurskie
Blachownia,50.7842,18.9625,śląskie
Błaszki,51.6517,18.4377,łódzkie
Błażowa,49.8853,22.1006,podkarpackie
Błonie,52.1947,20.6171,mazowieckie
Bobolice,53.9556,16.5895,zachodniopomorskie
Bobowa,49.7053,20.9500,małopolskie
Bochnia,49.9693,20.4326,małopolskie
Bodzentyn,50.9410,20.9570,świętokrzyskie
Bogatynia,50.9047,14.9572,dolnośląskie
Boguchwała,49.9823,21.9396,podkarpackie
Boguszów-Gorce,50.7559,16.2050,dolnośląskie
Bojanowo,51.7074,16.7489,wielkopolskie
Bolesławiec,51.2630,15.5648,dolnośląskie
Bolków,50.9222,16.1007,dolnośląskie
Borek Wielkopolski,51.9165,17.2422,wielkopolskie
Borne Sulinowo,53.5815,16.5383,zachodniopomorskie
Braniewo,54.3823,19.8217,warmińsko-mazurskie
Brańsk,52.7434,22.8417,podlaskie
Brodnica,53.2564,19.4027,kujawsko-pomorskie
Brok,52.7000,21.8594,mazowieckie
Brusy,53.8867,17.7178,pomorskie
Brwinów,52.1428,20.7172,mazowieckie
Brzeg,50.8616,17.4699,opolskie
Brzeg Dolny,51.2603,16.7197,dolnośląskie
Brzesko,49.9683,20.6078,małopolskie
Brzeszcze,49.9830,19.1441,małopolskie
Brześć Kujawski,52.6064,18.9007,kujawsko-pomorskie
Brzeziny,51.7996,19.7535,łódzkie
Brzostek,49.8798,21.4105,podkarpackie
Brzozów,49.6943,22.0194,podkarpackie
