nazwa	szerokosc	dlugosc	wojewodztwo	powiat
Aleksandrów Kujawski	52.8749	18.6946	kujawsko-pomorskie	aleksandrowski
Aleksandrów Łódzki	51.8203	19.3050	łódzkie	zgierski
Alwernia	50.0686	19.5420	małopolskie	chrzanowski
Andrychów	49.8529	19.3413	małopolskie	wadowicki
Annopol	50.8854	21.8570	lubelskie	kraśnicki
Augustów	53.8421	22.9775	podlaskie	augustowski
Babimost	52.1648	15.8304	lubuskie	zielonogórski
Baborów	50.1566	17.9858	opolskie	głubczycki
Baranów Sandomierski	50.4973	21.5432	podkarpackie	tarnobrzeski
Barcin	52.8574	17.9419	kujawsko-pomorskie	żniński
Barczewo	53.8283	20.6903	warmińsko-mazurskie	olsztyński
Bardo	50.5063	16.7404	dolnośląskie	ząbkowicki
Barlinek	52.9973	15.2195	zachodniopomorskie	myśliborski
Bartoszyce	54.2510	20.8095	warmińsko-mazurskie	bartoszycki
Barwice	53.7448	16.3552	zachodniopomorskie	szczecinecki
Bełchatów	51.3625	19.3651	łódzkie	bełchatowski
Bełżyce	51.1750	22.2818	lubelskie	lubelski
Będzin	50.3243	19.1358	śląskie	będziński
Biała	50.3854	17.6598	opolskie	prudnicki
Biała Piska	53.6108	22.0619	warmińsko-mazurskie	piski
Biała Podlaska	52.0339	23.1231	lubelskie	Biała Podlaska
Biała Rawska	51.8083	20.4742	łódzkie	rawski
Białobrzegi	51.6483	20.9497	mazowieckie	białobrzeski
Białogard	54.0083	15.9858	zachodniopomorskie	białogardzki
Biały Bór	53.8962	16.8355	zachodniopomorskie	szczecinecki
Białystok	53.1323	23.1687	podlaskie	Białystok
Biecz	49.7310	21.2538	małopolskie	gorlicki
Bielawa	50.6845	16.6118	dolnośląskie	dzierżoniowski
Bielsk Podlaski	52.7711	23.1903	podlaskie	bielski
Bielsko-Biała	49.8222	19.0451	śląskie	Bielsko-Biała
Bieruń	50.0917	19.0911	śląskie	bieruńsko-lędziński
Bierutów	51.1253	17.5441	dolnośląskie	oleśnicki
Bieżuń	52.9596	19.8885	mazowieckie	żuromiński
Biłgoraj	50.5383	22.7204	lubelskie	biłgorajski
Biskupiec	53.8644	20.9553	warmińsko-mazurskie	olsztyński
Bisztynek	54.0860	20.9014	warmińsko-mazurskie	bartoszycki
Blachownia	50.7842	18.9625	śląskie	częstochowski
Błaszki	51.6517	18.4377	łódzkie	sieradzki
Błażowa	49.8853	22.1006	podkarpackie	rzeszowski
Błonie	52.1947	20.6171	mazowieckie	warszawski zachodni
Bobolice	53.9556	16.5895	zachodniopomorskie	koszaliński
Bobowa	49.7053	20.9500	małopolskie	gorlicki
Bochnia	49.9693	20.4326	małopolskie	bocheński
Bodzentyn	50.9410	20.9570	świętokrzyskie	kielecki
Bogatynia	50.9047	14.9572	dolnośląskie	zgorzelecki
Boguchwała	49.9823	21.9396	podkarpackie	rzeszowski
Boguszów-Gorce	50.7559	16.2050	dolnośląskie	wałbrzyski
Bojanowo	51.7074	16.7489	wielkopolskie	rawicki
Bolesławiec	51.2630	15.5648	dolnośląskie	bolesławiecki
Bolimów	52.0764	20.1636	łódzkie	skierniewicki
Bolków	50.9222	16.1007	dolnośląskie	jaworski
Borek Wielkopolski	51.9165	17.2422	wielkopolskie	gostyński
Borne Sulinowo	53.5815	16.5383	zachodniopomorskie	szczecinecki
Braniewo	54.3823	19.8217	warmińsko-mazurskie	braniewski
Brańsk	52.7434	22.8417	podlaskie	bielski
Brodnica	53.2564	19.4027	kujawsko-pomorskie	brodnicki
Brok	52.7000	21.8594	mazowieckie	ostrowski
Brusy	53.8867	17.7178	pomorskie	chojnicki
Brwinów	52.1428	20.7172	mazowieckie	pruszkowski
Brzeg	50.8616	17.4699	opolskie	brzeski
Brzeg Dolny	51.2603	16.7197	dolnośląskie	wołowski
Brzesko	49.9683	20.6078	małopolskie	brzeski
Brzeszcze	49.9830	19.1441	małopolskie	oświęcimski
Brześć Kujawski	52.6064	18.9007	kujawsko-pomorskie	włocławski
Brzeziny	51.7996	19.7535	łódzkie	brzeziński
Brzostek	49.8798	21.4105	podkarpackie	dębicki
Brzozów	49.6943	22.0194	podkarpackie	brzozowski
Budzyń	52.8901	16.9878	wielkopolskie	chodzieski
Buk	52.3554	16.5197	wielkopolskie	poznański
Bukowno	50.2677	19.4627	małopolskie	olkuski
Busko-Zdrój	50.4692	20.7184	świętokrzyskie	buski
Bychawa	51.0144	22.5347	lubelskie	lubelski
Byczyna	51.1141	18.2142	opolskie	kluczborski
Bydgoszcz	53.1254	18.0014	kujawsko-pomorskie	Bydgoszcz
Bystrzyca Kłodzka	50.2975	16.6503	dolnośląskie	kłodzki
Bytom	50.3484	18.9157	śląskie	Bytom
Bytom Odrzański	51.7307	15.8264	lubuskie	nowosolski
Bytów	54.1689	17.4894	pomorskie	bytowski
